# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
0,0.000,20,1,0
10,0.000,20,1,0
20,0.000,20,1,0
30,0.000,20,1,0
40,0.000,20,1,0
50,0.000,20,1,0
60,0.000,20,1,0
70,0.000,20,1,0
80,0.000,20,1,0
90,0.000,20,1,0
100,0.000,20,1,0
110,0.000,20,1,0
120,0.000,20,1,0
130,0.000,20,1,0
140,0.000,20,1,0
150,0.000,20,1,0
160,0.000,20,1,0
170,0.000,20,1,0
180,0.000,20,1,0
190,0.000,20,1,0
200,0.000,20,1,0
210,0.000,20,1,0
220,0.000,20,1,0
230,0.000,20,1,0
240,0.000,20,1,0
250,0.000,20,1,0
260,0.000,20,1,0
270,0.000,20,1,0
280,0.000,20,1,0
290,0.000,20,1,0
300,0.000,20,1,0
310,0.000,20,1,0
320,0.000,20,1,0
330,0.000,20,1,0
340,0.000,20,1,0
350,0.000,20,1,0
360,0.000,20,1,0
370,0.000,20,1,0
380,0.000,20,1,0
390,0.000,20,1,0
400,0.000,20,1,0
410,0.000,20,1,0
420,0.000,20,1,0
430,0.000,20,1,0
440,0.000,20,1,0
450,0.000,20,1,0
460,0.000,20,1,0
470,0.000,20,1,0
480,0.000,20,1,0
490,0.000,20,1,0
500,0.000,20,1,0
510,0.000,20,1,0
520,0.000,20,1,0
530,0.000,20,1,0
540,0.000,20,1,0
550,0.000,20,1,0
560,0.000,20,1,0
570,0.000,20,1,0
580,0.000,20,1,0
590,0.000,20,1,0
600,0.000,20,1,0
610,0.000,20,1,0
620,0.000,20,1,0
630,0.000,20,1,0
640,0.000,20,1,0
650,0.000,20,1,0
660,0.000,20,1,0
670,0.000,20,1,0
680,0.000,20,1,0
690,0.000,20,1,0
700,0.000,20,1,0
710,0.000,20,1,0
720,0.000,20,1,0
730,0.000,20,1,0
740,0.000,20,1,0
750,0.000,20,1,0
760,0.000,20,1,0
770,0.000,20,1,0
780,0.000,20,1,0
790,0.000,20,1,0
800,0.000,20,1,0
810,0.000,20,1,0
820,0.000,20,1,0
830,0.000,20,1,0
840,0.000,20,1,0
850,0.000,20,1,0
860,0.000,20,1,0
870,0.000,20,1,0
880,0.000,20,1,0
890,0.000,20,1,0
900,0.000,20,1,0
910,0.000,20,1,0
920,0.000,20,1,0
930,0.000,20,1,0
940,0.000,20,1,0
950,0.000,20,1,0
960,0.000,20,1,0
970,0.000,20,1,0
980,0.000,20,1,0
990,0.000,20,1,0
1000,6.000,100,2,0
1010,6.000,100,2,0
1020,6.000,100,2,0
1030,6.000,100,2,0
1040,6.000,100,2,0
1050,6.000,100,2,0
1060,6.000,100,2,0
1070,6.000,100,2,0
1080,6.000,100,2,0
1090,6.000,100,2,0
1100,6.000,100,2,0
1110,6.000,100,2,0
1120,6.000,100,2,0
1130,6.000,100,2,0
1140,6.000,100,2,0
1150,6.000,100,2,0
1160,6.000,100,2,0
1170,6.000,100,2,0
1180,6.000,100,2,0
1190,6.000,100,2,0
1200,6.000,100,2,0
1210,6.000,100,2,0
1220,6.000,100,2,0
1230,6.000,100,2,0
1240,6.000,100,2,0
1250,6.000,100,2,0
1260,6.000,100,2,0
1270,6.000,100,2,0
1280,6.000,100,2,0
1290,6.000,100,2,0
1300,6.000,100,2,0
1310,6.000,100,2,0
1320,6.000,100,2,0
1330,6.000,100,2,0
1340,6.000,100,2,0
1350,6.000,100,2,0
1360,6.000,100,2,0
1370,6.000,100,2,0
1380,6.000,100,2,0
1390,6.000,100,2,0
1400,6.000,100,2,0
