# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
0,0.000,20,1,2
10,0.004,20,1,2
20,0.008,20,1,2
30,0.012,20,1,2
40,0.016,20,1,2
50,0.020,20,1,2
60,0.024,20,1,2
70,0.028,20,1,2
80,0.032,20,1,2
90,0.036,20,1,2
100,0.040,20,1,2
110,0.044,20,1,2
120,0.048,20,1,2
130,0.052,20,1,2
140,0.056,20,1,2
150,0.060,20,1,2
160,0.064,20,1,2
170,0.068,20,1,2
180,0.072,20,1,2
190,0.076,20,1,2
200,0.080,20,1,2
210,0.084,20,1,2
220,0.088,20,1,2
230,0.092,20,1,2
240,0.096,20,1,2
250,0.100,20,1,2
260,0.104,20,1,2
270,0.108,20,1,2
280,0.112,20,1,2
290,0.116,20,1,2
300,0.120,20,1,2
310,0.124,20,1,2
320,0.128,20,1,2
330,0.132,20,1,2
340,0.136,20,1,2
350,0.140,20,1,2
360,0.144,20,1,2
370,0.148,20,1,2
380,0.152,20,1,2
390,0.156,20,1,2
400,0.160,20,1,2
410,0.164,20,1,2
420,0.168,20,1,2
430,0.172,20,1,2
440,0.176,20,1,2
450,0.180,20,1,2
460,0.184,20,1,2
470,0.188,20,1,2
480,0.192,20,1,2
490,0.196,20,1,2
500,0.200,20,1,2
510,0.204,20,1,2
520,0.208,20,1,2
530,0.212,20,1,2
540,0.216,20,1,2
550,0.220,20,1,2
560,0.224,20,1,2
570,0.228,20,1,2
580,0.232,20,1,2
590,0.236,20,1,2
600,0.240,20,1,2
610,0.244,20,1,2
620,0.248,20,1,2
630,0.252,20,1,2
640,0.256,20,1,2
650,0.260,20,1,2
660,0.264,20,1,2
670,0.268,20,1,2
680,0.272,20,1,2
690,0.276,20,1,2
700,0.280,20,1,2
710,0.284,20,1,2
720,0.288,20,1,2
730,0.292,20,1,2
740,0.296,20,1,2
750,0.300,20,1,2
760,0.304,20,1,2
770,0.308,20,1,2
780,0.312,20,1,2
790,0.316,20,1,2
800,0.320,20,1,2
810,0.324,20,1,2
820,0.328,20,1,2
830,0.332,20,1,2
840,0.336,20,1,2
850,0.340,20,1,2
860,0.344,20,1,2
870,0.348,20,1,2
880,0.352,20,1,2
890,0.356,20,1,2
900,0.360,20,1,2
910,0.364,20,1,2
920,0.368,20,1,2
930,0.372,20,1,2
940,0.376,20,1,2
950,0.380,20,1,2
960,0.384,20,1,2
970,0.388,20,1,2
980,0.392,20,1,2
990,0.396,20,1,2
1000,0.400,20,1,2
1010,0.404,20,1,2
1020,0.408,20,1,2
1030,0.412,20,1,2
1040,0.416,20,1,2
1050,0.420,20,1,2
1060,0.424,20,1,2
1070,0.428,20,1,2
