sep=;
# SmartBikeRearLight Fahrt-Export
# schema_version;2
# geraet;SmartBikeRearLight
# app_version;1.0
# start_utc;2026-08-06T20:40:31Z
# ende_utc;2026-08-06T20:41:27Z
t_s;uhrzeit;device_timestamp_ms;speed_kmph;distanz_km;hoehe_m;pressure_pa;gnss_altitude_m;temperature_c;course_deg;fix_status;sats;hdop;lat;lon;brake_decel_ms2;brake_light_pct;imu_health;baro_valid;system_state;init_degraded;watchdog_recovered;frame_version
0,0;22:40:31;1409800;73,0;0,000;-63,5;102090;46,8;;143,2;FIX_OK;15;0,7;51,178215;6,806918;0,21;20;OK;1;RUN;0;0;2
1,0;22:40:32;1410802;73,6;0,020;-64,6;102104;46,5;;142,8;FIX_OK;14;0,8;51,178074;6,807088;0,37;20;OK;1;RUN;0;0;2
2,0;22:40:33;1411805;71,0;0,041;-64,0;102096;46,8;;142,7;FIX_OK;14;0,8;51,177933;6,807261;0,15;20;OK;1;RUN;0;0;2
3,0;22:40:34;1412808;67,5;0,060;-64,9;102107;47,2;;142,9;FIX_OK;13;0,8;51,177792;6,807422;0,88;20;OK;1;RUN;0;0;2
4,0;22:40:35;1413811;69,0;0,079;-64,5;102103;47,2;;145,0;FIX_OK;13;0,8;51,177662;6,807579;0,00;20;OK;1;RUN;0;0;2
5,0;22:40:36;1414814;64,5;0,097;-65,6;102115;47,1;;146,4;FIX_OK;12;0,8;51,177517;6,807727;0,00;20;OK;1;RUN;0;0;2
6,0;22:40:37;1415817;58,6;0,115;-65,8;102118;40,4;;146,4;FIX_OK;12;0,8;51,177433;6,807805;0,00;57;OK;1;RUN;0;0;2
7,0;22:40:38;1416820;56,2;0,131;-65,6;102116;43,0;;143,9;FIX_OK;13;0,8;51,177315;6,807902;0,30;27;OK;1;RUN;0;0;2
8,0;22:40:39;1417823;52,9;0,146;-65,4;102114;46,6;;145,6;FIX_OK;13;0,8;51,177189;6,808020;0,60;33;OK;1;RUN;0;0;2
9,0;22:40:40;1418826;52,0;0,160;-66,0;102120;47,5;;145,1;FIX_OK;13;0,8;51,177074;6,808178;0,32;20;OK;1;RUN;0;0;2
10,0;22:40:41;1419829;52,4;0,175;-65,9;102119;47,8;;144,7;FIX_OK;13;0,8;51,176975;6,808313;0,08;20;OK;1;RUN;0;0;2
11,0;22:40:42;1420833;51,6;0,189;-66,4;102125;47,9;;144,1;FIX_OK;13;0,8;51,176868;6,808457;0,53;20;OK;1;RUN;0;0;2
12,0;22:40:43;1421837;48,8;0,203;-66,3;102123;48,0;;141,5;FIX_OK;13;0,8;51,176777;6,808607;0,66;20;OK;1;RUN;0;0;2
13,0;22:40:44;1422841;47,7;0,217;-66,6;102127;47,8;;141,0;FIX_OK;13;0,8;51,176689;6,808720;0,21;20;OK;1;RUN;0;0;2
14,0;22:40:45;1423845;47,4;0,230;-66,3;102124;47,7;;142,7;FIX_OK;12;0,8;51,176586;6,808846;0,23;20;OK;1;RUN;0;0;2
15,0;22:40:46;1424848;47,3;0,243;-66,4;102126;48,3;;139,7;FIX_OK;13;0,8;51,176502;6,808959;0,25;20;OK;1;RUN;0;0;2
16,0;22:40:47;1425850;45,6;0,256;-67,1;102134;48,5;;139,7;FIX_OK;13;0,8;51,176418;6,809083;1,15;20;OK;1;RUN;0;0;2
