sep=;
# SmartBikeRearLight Fahrt-Export
# schema_version;3
# frame_version_gemischt;nein
# geraet;SmartBikeRearLight
# app_version;1.0
# start_utc;2026-08-08T20:45:04Z
# ende_utc;2026-08-08T20:48:03Z
t_s;uhrzeit;device_timestamp_ms;speed_kmph;distanz_km;hoehe_m;pressure_pa;gnss_altitude_m;course_deg;fix_status;sats;hdop;lat;lon;brake_decel_ms2;brake_light_pct;imu_health;baro_valid;system_state;init_degraded;watchdog_recovered;frame_version;gnss_accel_ms2;pitch_rad;gyro_bias_rads;norm_delta_min;norm_delta_max;jerk_max;regime_static_n;regime_dynamic_n;regime_shock_n;bias_calibrated;gnss_accel_valid;dt_max_ms;loop_max_us
0,00;22:45:04;50294;0,4;0,000;-13,2;101484;47,1;70,2;FIX_OK;6;1,8;51,178642;6,801900;0,00;20;OK;1;RUN;0;0;3;0,00;-0,0678;-0,0726;-0,382;0,339;0,721;3;7;0;1;0;10;234
0,20;22:45:05;50492;0,4;0,000;-13,2;101484;47,1;70,2;FIX_OK;6;1,8;51,178642;6,801900;0,00;20;OK;1;RUN;0;0;3;0,00;-0,0687;-0,0726;-0,268;0,390;0,661;7;3;0;1;0;10;53
0,30;22:45:05;50592;0,4;0,000;-13,2;101484;47,1;70,2;FIX_OK;6;1,8;51,178642;6,801900;0,00;20;OK;1;RUN;0;0;3;0,00;-0,0701;-0,0726;-0,359;0,259;0,618;7;3;0;1;0;10;53
0,40;22:45:05;50692;0,4;0,000;-13,2;101484;47,1;70,2;FIX_OK;6;1,8;51,178642;6,801900;0,00;20;OK;1;RUN;0;0;3;0,00;-0,0711;-0,0726;-0,391;0,368;0,759;3;7;0;1;0;10;91
0,50;22:45:05;50792;0,4;0,000;-13,2;101484;47,1;70,2;FIX_OK;6;1,8;51,178642;6,801900;0,01;20;OK;1;RUN;0;0;3;0,00;-0,0715;-0,0726;-0,318;0,246;0,469;6;4;0;1;0;10;87
0,60;22:45:05;50892;0,4;0,000;-13,2;101484;47,1;70,2;FIX_OK;6;1,8;51,178642;6,801900;0,01;20;OK;1;RUN;0;0;3;0,00;-0,0715;-0,0726;-0,253;0,347;0,641;6;4;0;1;0;10;91
0,70;22:45:05;50992;0,4;0,000;-13,2;101484;47,1;70,2;FIX_OK;6;1,8;51,178642;6,801900;0,04;20;OK;1;RUN;0;0;3;0,00;-0,0719;-0,0726;-0,252;0,312;0,584;4;6;0;1;0;10;83
0,80;22:45:05;51092;0,4;0,000;-13,2;101484;47,1;70,2;FIX_OK;6;1,8;51,178642;6,801900;0,06;20;OK;1;RUN;0;0;3;0,00;-0,0730;-0,0726;-0,182;0,298;0,480;8;2;0;1;0;10;86
0,90;22:45:05;51192;0,9;0,000;-13,2;101484;43,5;70,2;FIX_OK;6;1,8;51,178642;6,801878;0,02;20;OK;1;RUN;0;0;3;0,00;-0,0735;-0,0726;-0,365;0,413;0,778;4;6;0;1;0;10;86
1,00;22:45:05;51296;0,9;0,000;-13,0;101481;43,5;70,2;FIX_OK;6;1,8;51,178642;6,801878;0,02;20;OK;1;RUN;0;0;3;0,00;-0,0734;-0,0726;-0,281;0,348;0,629;5;5;0;1;0;10;82
